question,ground_truth_sql,generated_sql,exact_match,execution_match,gt_result_sample,gen_result_sample
How many people speak Sanskrit in total Goa?,select ls.person from language_stats ls join regions r on ls.state = r.state join languages l on ls.language_id = l.id join tru t on ls.tru_id = t.id where r.area_name = 'goa' and l.name = 'sanskrit' and t.name = 'total',select sum(ls.person) as total_sanskrit_speakers from language_stats ls join languages l on ls.language_id = l.id where lower(l.name) ='sanskrit',False,False,ERROR,[{'total_sanskrit_speakers': 198120.0}]
Which top 3 have the lowest percentage of stunted children under 5?,select r.area_name from healthcare_stats h join regions r on h.state = r.state join tru t on h.tru_id = t.id where t.name = 'total' order by cast(h.children_under_5_years_who_are_stunted_heightforage18_ as double precision) asc limit 3,"select r.name, cast(sum(case when c.underfive_mortality_rate_per_1000_live_births is not null then 1 else 0 end) as float) / nullif(count(*), 0) as proportion from regions r left join healthcare_stats c on r.state = c.state group by r.name order by proportion asc limit 3",False,False,ERROR,"Execution failed on sql 'select r.name, cast(sum(case when c.underfive_mortality_rate_per_1000_live_"
How many people speak Malayalam in rural Uttarakhand?,select ls.person from language_stats ls join regions r on ls.state = r.state join languages l on ls.language_id = l.id join tru t on ls.tru_id = t.id where r.area_name = 'uttarakhand' and l.name = 'malayalam' and t.name = 'rural',select count(*) as total_malayalam_speakers from language_stats ls join languages l on ls.language_id = l.id where l.name ilike '%malayalam%' and ls.state in (select id from regions where area_name ilike '%uttarakhand%'),False,False,ERROR,[{'total_malayalam_speakers': 0}]
What is the percentage of wasted children under 5 in total Mizoram?,select h.children_under_5_years_who_are_wasted_weightforheight18_ from healthcare_stats h join regions r on h.state = r.state join tru t on h.tru_id = t.id where r.area_name = 'mizoram' and t.name = 'total',ERROR,False,False,ERROR,ERROR
How many marginal cultivators are there in total Madhya Pradesh?,select e.marginal_cultivator_person from education_stats e join regions r on e.state = r.state join tru t on e.tru_id = t.id where r.area_name = 'madhya pradesh' and t.name = 'total',select count(*) as total_marginal_cultivators from education_stats es where es.marginal_cultivator_person > 0 and es.state = 28,False,False,ERROR,[{'total_marginal_cultivators': 3}]
How many people speak Kannada in rural Andhra Pradesh?,select ls.person from language_stats ls join regions r on ls.state = r.state join languages l on ls.language_id = l.id join tru t on ls.tru_id = t.id where r.area_name = 'andhra pradesh' and l.name = 'kannada' and t.name = 'rural',select count(*) as kannada_speakers from language_stats ls join languages l on ls.language_id = l.id where l.name ilike '%kannada%' and ls.state = (select id from regions where area_name ilike '%andhra pradesh%'),False,False,ERROR,[{'kannada_speakers': 0}]
How many people speak Gujarati in total Lakshadweep?,select ls.person from language_stats ls join regions r on ls.state = r.state join languages l on ls.language_id = l.id join tru t on ls.tru_id = t.id where r.area_name = 'lakshadweep' and l.name = 'gujarati' and t.name = 'total',select sum(language_stats.person) as total_persons from language_stats join languages on language_stats.language_id = languages.id where languages.name ilike '%gujarati%',False,False,ERROR,[{'total_persons': 442115032.0}]
How many main agricultural labourers are there in urban Arunachal Pradesh?,select e.main_agricultural_labourers_person from education_stats e join regions r on e.state = r.state join tru t on e.tru_id = t.id where r.area_name = 'arunachal pradesh' and t.name = 'urban',"select count(*) as total_labourers from crop_stats cs join (select distinct ""state"" from crop_stats where ""state"" ilike '%arunachal pradesh%') as ap on cs.""state"" = ap.""state"" where cs.""labourer type"" = 'main agricultural labourer' and cs.""urban/rural"" = 'urban'",False,False,ERROR,Execution failed on sql 'select count(*) as total_labourers from crop_stats cs join (select distinct
How many household industry workers are there in rural Bihar?,select e.main_household_industries_person from education_stats e join regions r on e.state = r.state join tru t on e.tru_id = t.id where r.area_name = 'bihar' and t.name = 'rural',ERROR,False,False,ERROR,ERROR
How many marginal cultivators are there in total Daman & Diu?,select e.marginal_cultivator_person from education_stats e join regions r on e.state = r.state join tru t on e.tru_id = t.id where r.area_name = 'daman & diu' and t.name = 'total',select sum(marginal_cultivator_male) as total_marginal_cultivators from education_stats where state = 28,False,False,ERROR,[{'total_marginal_cultivators': 347970.0}]
